DATABASE_NAME, SCHEMA_NAME , TABLE_NAME                      , TABLE_TYPE, COMMENT                                                                                                                                                                        , ROW_COUNT, COLUMNS
DB_DUMP      , PUBLIC      , BATTERY_SWAP_METRICS            , BASE TABLE, "Contains battery swap station metrics, including usage statistics, swaps completed, and performance KPIs. Used for operational analytics."                                    ,         0, "SWAP_DATE, AREA, STATION, TOTAL_SWAPS, TOTAL_REVENUE, AVG_SWAP_TIME, IS_ACTIVE"
DB_DUMP      , PUBLIC      , LOCATION_COMPARISON             , VIEW      , "View comparing locations for performance, usage, or other metrics. Supports comparative analysis across sites."                                                               ,         0, "LOCATION, LOCATION, STATIONNAME, STATIONNAME, REVENUE, REVENUE, EXPENSES, EXPENSES, PROFIT, PROFIT, SWAPS, SWAPS"
DB_DUMP      , PUBLIC      , MONTH_COMPARISON                , VIEW      , "View comparing monthly performance metrics, enabling trend and variance analysis."                                                                                            ,         0, "DATE, DATE, DATE, LOCATION, REVENUE, REVENUE, EXPENSES, STATIONNAME, EXPENSES, PROFIT, PROFIT, REVENUE, EXPENSES, SWAPS, SWAPS, PROFIT, SWAPS"
DB_DUMP      , PUBLIC      , MY_CUSTOMERSUMMARY              , BASE TABLE, Aggregated customer-level summary metrics for reporting and dashboard purposes.                                                                                                ,      1000, "DATE, CUSTOMER_ID, PAYMENTMETHOD, TOTAL_SWAPS, GROSS_REVENUE, DIRECTPAY_COMMISSION, TOTAL_REVENUE"
DB_DUMP      , PUBLIC      , MY_EXPENSESSUMMARY              , BASE TABLE, Aggregated expense summary data for analysis and reporting.                                                                                                                    ,      1000, "DATE, LOCATION, STATIONNAME, ELECTRICITY_CONSUMED_IN_UNITS, ELCTRICITY_BILL, STATION_RENT, MAINTANANCE_COST"
DB_DUMP      , PUBLIC      , MY_REVENUESUMMARY               , BASE TABLE, Aggregated revenue summary data for financial reporting and KPI tracking.                                                                                                      ,      4498, "DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, PAYMENTMETHOD, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, TOTAL_REFUND, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, TOTAL_REFUND, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, GROSS_REVENUE, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, GROSS_REVENUE, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, DIRECTPAY_COMMISSION, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, DIRECTPAY_COMMISSION, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, DIRECTPAY_COMMISSION, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, EFIICIENCY, EFIICIENCY"
DB_DUMP      , PUBLIC      , SWAP_SUMMARY                    , BASE TABLE, "Contains aggregated battery swap summaries, including counts, duration, and performance metrics."                                                                             ,      3563, "DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, DATE, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, AVG_SWAP_TIME, AVG_SWAP_TIME, TOTAL_REFUND, TOTAL_REFUND, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, AVG_SWAP_TIME, EFFICIENCY, EFFICIENCY"
DB_DUMP      , PUBLIC      , VW_DAILY_UTILIZATION            , VIEW      , "View showing daily utilization metrics, likely for vehicles, devices, or stations. Supports operational monitoring."                                                          ,         0, "PERIOD, PERIOD, LOCATIONNAME, LOCATIONNAME, STATIONNAME, STATIONNAME, LATEST_NET_REVENUE, LATEST_NET_REVENUE, PERSONAL_BEST_NET_REVENUE, PERSONAL_BEST_NET_REVENUE, UTILIZATION_RATE, UTILIZATION_RATE"
DB_DUMP      , PUBLIC      , VW_MONTHLY_UTILIZATION          , VIEW      , View showing monthly utilization metrics for performance tracking.                                                                                                             ,         0, "PERIOD, PERIOD, PERIOD, LOCATIONNAME, LOCATIONNAME, LOCATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, LATEST_NET_REVENUE, LATEST_NET_REVENUE, LATEST_NET_REVENUE, PERSONAL_BEST_NET_REVENUE, PERSONAL_BEST_NET_REVENUE, PERSONAL_BEST_NET_REVENUE, UTILIZATION_RATE, UTILIZATION_RATE, UTILIZATION_RATE"
DB_DUMP      , PUBLIC      , VW_PROFIT                       , VIEW      , "View showing profitability calculations, revenue vs cost, for reporting and financial analysis."                                                                              ,         0, "DATE, DATE, DATE, DATE, LOCATION, LOCATION, LOCATION, LOCATION, STATIONNAME, STATIONNAME, STATIONNAME, STATIONNAME, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_SWAPS, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_REVENUE, TOTAL_EXPENSES, TOTAL_EXPENSES, TOTAL_EXPENSES, TOTAL_EXPENSES, PROFIT, PROFIT, PROFIT, PROFIT"
